onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545049401	1.191446066	9	1	1	3	9	1	1	3	3	4	7	n/a	n/a	n/a
1545049402	1.191631079	9	2	1	3	9	1	2	3	3	4	7	n/a	n/a	n/a
1545049403	1.191815138	9	3	1	3	9	1	3	3	3	4	7	n/a	n/a	n/a
1545049404	1.191653013	9	4	1	3	9	1	4	3	3	4	7	n/a	n/a	n/a
1545049406	1.191626072	9	5	1	3	9	1	5	3	3	4	7	n/a	n/a	n/a
1545049407	1.191712856	9	6	1	3	9	1	6	3	3	4	7	n/a	n/a	n/a
1545049408	1.191704988	9	7	1	3	9	1	7	3	3	4	7	n/a	n/a	n/a
1545049409	1.191672802	9	8	1	3	9	1	8	3	3	4	7	n/a	n/a	n/a
1545049410	1.19177103	9	9	1	3	9	1	9	3	3	4	7	n/a	n/a	n/a
1545049412	1.191685915	9	10	1	3	9	1	10	3	3	4	7	n/a	n/a	n/a
1545049413	1.190680027	9	11	1	3	1	2	1	1	2	4	7	n/a	1545049413	n/a
1545049414	1.191630125	9	12	1	3	1	2	2	1	2	4	7	n/a	1545049414	n/a
1545049415	1.191776037	9	13	1	3	1	2	3	1	2	4	7	n/a	1545049415	n/a
1545049416	1.19171381	9	14	1	3	1	2	4	2	1	4	7	n/a	1545049417	n/a
1545049418	1.191679955	9	15	1	3	1	2	5	2	2	4	7	n/a	1545049418	n/a
1545049419	1.191679955	9	16	1	3	1	2	6	1	1	4	7	n/a	1545049419	n/a
1545049420	1.191704988	9	17	1	3	1	2	7	1	1	4	7	n/a	1545049420	n/a
1545049421	1.191824913	9	18	1	3	1	2	8	1	2	4	7	n/a	1545049421	n/a
1545049422	1.191705942	9	19	1	3	1	2	9	2	1	4	7	n/a	1545049423	n/a
1545049424	1.191709042	9	20	1	3	1	2	10	1	2	4	7	n/a	1545049424	n/a
1545049425	1.191689968	9	21	1	3	1	2	11	2	1	4	7	n/a	1545049425	n/a
1545049426	1.191745043	9	22	1	3	1	2	12	2	2	4	7	n/a	1545049426	n/a
1545049427	1.191679955	9	23	1	3	1	2	13	1	1	4	7	n/a	1545049427	n/a
1545049428	1.191709042	9	24	1	3	1	2	14	1	1	4	7	n/a	1545049429	n/a
1545049430	1.19167304	9	25	1	3	1	2	15	2	2	4	7	n/a	1545049430	n/a
1545049431	1.191628933	9	26	1	3	1	2	16	1	2	4	7	n/a	1545049431	n/a
1545049432	1.191686869	9	27	1	3	1	2	17	1	1	4	7	n/a	1545049432	n/a
1545049433	1.191715002	9	28	1	3	1	2	18	2	2	4	7	n/a	1545049433	n/a
1545049434	1.191843033	9	29	1	3	9	3	1	3	3	4	7	n/a	n/a	n/a
1545049436	1.191614866	9	30	1	3	9	3	2	3	3	4	7	n/a	n/a	n/a
1545049437	1.191711903	9	31	1	3	9	3	3	3	3	4	7	n/a	n/a	n/a
1545049438	1.191659927	9	32	1	3	9	3	4	3	3	4	7	n/a	n/a	n/a
1545049439	1.191665888	9	33	1	3	9	3	5	3	3	4	7	n/a	n/a	n/a
1545049440	1.191747904	9	34	1	3	9	3	6	3	3	4	7	n/a	n/a	n/a
1545049442	1.191727877	9	35	1	3	9	3	7	3	3	4	7	n/a	n/a	n/a
1545049443	1.191632986	9	36	1	3	9	3	8	3	3	4	7	n/a	n/a	n/a
1545049444	1.191636086	9	37	1	3	9	3	9	3	3	4	7	n/a	n/a	n/a
1545049445	1.191684008	9	38	1	3	9	3	10	3	3	4	7	n/a	n/a	n/a
1545049446	1.191833973	9	39	1	3	5	4	1	1	1	4	7	n/a	1545049447	n/a
1545049448	1.191703796	9	40	1	3	5	4	2	2	2	4	7	n/a	1545049448	n/a
1545049449	1.19175005	9	41	1	3	5	4	3	1	1	4	7	n/a	1545049449	n/a
1545049450	1.1916821	9	42	1	3	5	4	4	1	2	4	7	n/a	1545049450	n/a
1545049451	1.191689014	9	43	1	3	5	4	5	2	1	4	7	n/a	1545049451	n/a
1545049452	1.191680193	9	44	1	3	5	4	6	2	2	4	7	n/a	1545049453	n/a
1545049454	1.191679001	9	45	1	3	5	4	7	2	2	4	7	n/a	1545049454	n/a
1545049455	1.191720009	9	46	1	3	5	4	8	1	1	4	7	n/a	1545049455	n/a
1545049456	1.191769123	9	47	1	3	5	4	9	2	1	4	7	n/a	1545049456	n/a
1545049457	1.191656113	9	48	1	3	5	4	10	1	1	4	7	n/a	1545049457	n/a
1545049458	1.191744089	9	49	1	3	5	4	11	1	2	4	7	n/a	1545049459	n/a
1545049460	1.191704988	9	50	1	3	5	4	12	1	1	4	7	n/a	1545049460	n/a
1545049461	1.191687822	9	51	1	3	5	4	13	2	1	4	7	n/a	1545049461	n/a
1545049462	1.191766024	9	52	1	3	5	4	14	2	1	4	7	n/a	1545049462	n/a
1545049463	1.191678047	9	53	1	3	5	4	15	2	1	4	7	n/a	1545049463	n/a
1545049464	1.191709995	9	54	1	3	5	4	16	2	2	4	7	n/a	1545049465	n/a
1545049466	1.191697121	9	55	1	3	5	4	17	2	2	4	7	n/a	1545049466	n/a
1545049467	1.191675901	9	56	1	3	5	4	18	2	2	4	7	n/a	1545049467	n/a
1545049468	1.191745043	9	57	1	3	9	5	1	3	3	4	7	n/a	n/a	n/a
1545049469	1.191683054	9	58	1	3	9	5	2	3	3	4	7	n/a	n/a	n/a
1545049470	1.191678047	9	59	1	3	9	5	3	3	3	4	7	n/a	n/a	n/a
1545049472	1.191715002	9	60	1	3	9	5	4	3	3	4	7	n/a	n/a	n/a
1545049473	1.191684008	9	61	1	3	9	5	5	3	3	4	7	n/a	n/a	n/a
