onset	duration	run_number	trial_number	att_task	fix_direction	bar_period	bar_direction	bar_step	fix_noise_ori	stim_noise_ori	fix_stair_val	stim_stair_val	response_val	probe_time	reaction_time
1545308214	1.191503048	5	1	1	1	9	1	1	3	3	9	5	n/a	n/a	n/a
1545308215	1.191659927	5	2	1	1	9	1	2	3	3	9	5	n/a	n/a	n/a
1545308216	1.19187808	5	3	1	1	9	1	3	3	3	9	5	n/a	n/a	n/a
1545308217	1.191763163	5	4	1	1	9	1	4	3	3	9	5	n/a	n/a	n/a
1545308219	1.191740036	5	5	1	1	9	1	5	3	3	9	5	n/a	n/a	n/a
1545308220	1.191735983	5	6	1	1	9	1	6	3	3	9	5	n/a	n/a	n/a
1545308221	1.191817045	5	7	1	1	9	1	7	3	3	9	5	n/a	n/a	n/a
1545308222	1.191642046	5	8	1	1	9	1	8	3	3	9	5	n/a	n/a	n/a
1545308223	1.191739082	5	9	1	1	9	1	9	3	3	9	5	n/a	n/a	n/a
1545308225	1.191734076	5	10	1	1	9	1	10	3	3	9	5	n/a	n/a	n/a
1545308226	1.204382896	5	11	1	1	1	2	1	2	1	9	5	1	1545308226	0.8836381435
1545308227	1.191768885	5	12	1	1	1	2	2	2	1	9	5	1	1545308228	0.7668030262
1545308228	1.191725016	5	13	1	1	1	2	3	1	2	8	5	1	1545308229	0.7336270809
1545308230	1.191728115	5	14	1	1	1	2	4	1	1	8	5	n/a	1545308230	n/a
1545308231	1.191762924	5	15	1	1	1	2	5	1	2	8	5	1	1545308231	0.6079740524
1545308232	1.19178915	5	16	1	1	1	2	6	2	1	8	5	1	1545308232	0.5502181053
1545308233	1.200147152	5	17	1	1	1	2	7	2	1	7	5	1	1545308234	0.7752921581
1545308234	1.191775084	5	18	1	1	1	2	8	1	1	7	5	1	1545308235	0.5918240547
1545308236	1.191766024	5	19	1	1	1	2	9	1	1	7	5	1	1545308236	0.667071104
1545308237	1.191773891	5	20	1	1	1	2	10	2	1	6	5	1	1545308237	0.7427711487
1545308238	1.191710949	5	21	1	1	1	2	11	2	2	6	5	1	1545308238	0.7172598839
1545308239	1.191733837	5	22	1	1	1	2	12	2	1	6	5	1	1545308240	0.6834111214
1545308240	1.191735029	5	23	1	1	1	2	13	2	2	5	5	1	1545308241	0.7417681217
1545308242	1.191733122	5	24	1	1	1	2	14	1	2	6	5	0	1545308242	0.700248003
1545308243	1.200160027	5	25	1	1	1	2	15	1	1	6	5	1	1545308243	0.6928191185
1545308244	1.19178915	5	26	1	1	1	2	16	1	2	6	5	1	1545308244	0.6753668785
1545308245	1.191807985	5	27	1	1	1	2	17	2	2	5	5	1	1545308246	0.7416629791
1545308246	1.191724062	5	28	1	1	1	2	18	2	1	5	5	1	1545308247	0.7750339508
1545308248	1.198642015	5	29	1	1	9	3	1	3	3	5	5	n/a	n/a	n/a
1545308249	1.191418886	5	30	1	1	9	3	2	3	3	5	5	n/a	n/a	n/a
1545308250	1.191740036	5	31	1	1	9	3	3	3	3	5	5	n/a	n/a	n/a
1545308251	1.191796064	5	32	1	1	9	3	4	3	3	5	5	n/a	n/a	n/a
1545308253	1.191727877	5	33	1	1	9	3	5	3	3	5	5	n/a	n/a	n/a
1545308254	1.191721916	5	34	1	1	9	3	6	3	3	5	5	n/a	n/a	n/a
1545308255	1.191767931	5	35	1	1	9	3	7	3	3	5	5	n/a	n/a	n/a
1545308256	1.191645861	5	36	1	1	9	3	8	3	3	5	5	n/a	n/a	n/a
1545308257	1.19171977	5	37	1	1	9	3	9	3	3	5	5	n/a	n/a	n/a
1545308259	1.191725016	5	38	1	1	9	3	10	3	3	5	5	n/a	n/a	n/a
1545308260	1.208049059	5	39	1	1	5	4	1	1	2	5	5	1	1545308260	0.5755031109
1545308261	1.200027943	5	40	1	1	5	4	2	1	1	4	5	1	1545308261	0.2584569454
1545308262	1.191770077	5	41	1	1	5	4	3	2	2	4	5	1	1545308263	0.2667179108
1545308264	1.191689014	5	42	1	1	5	4	4	2	1	4	5	1	1545308264	0.1666738987
1545308265	1.191688061	5	43	1	1	5	4	5	2	2	4	5	n/a	1545308265	n/a
1545308266	1.200050116	5	44	1	1	5	4	6	2	1	3	5	1	1545308266	0.7667570114
1545308267	1.191729069	5	45	1	1	5	4	7	2	1	3	5	1	1545308267	0.7001299858
